,gdp_cap,life_exp,popul
0,974.58,43.82,31.88
1,5937.02,76.42,3.6
2,6223.36,72.3,33.33
3,4797.23,42.73,12.42
4,12779.37,75.31,40.3
5,34435.36,81.23,20.43
6,36126.49,79.82,8.19
7,29796.04,75.63,0.7
8,1391.25,64.06,150.44
9,33692.6,79.44,10.39
10,1441.28,56.72,8.07
11,3822.13,65.55,9.11
12,7446.29,74.85,4.55
13,12569.85,50.72,1.63
14,9065.8,72.39,190.01
15,10680.79,73.0,7.32
16,1217.03,52.29,14.32
17,430.07,49.57,8.39
18,1713.77,59.72,14.13
19,2042.09,50.43,17.69
20,36319.23,80.65,33.39
21,706.01,44.74,4.36
22,1704.06,50.65,10.23
23,13171.63,78.55,16.28
24,4959.11,72.96,1318.68
25,7006.58,72.88,44.22
26,986.14,65.15,0.71
27,277.55,46.46,64.6
28,3632.55,55.32,3.8
29,9645.06,78.78,4.13
30,1544.75,48.32,18.013
31,14619.22,75.74,4.49
32,8948.1,78.27,11.41
33,22833.3,76.48,10.22
34,35278.41,78.33,5.46
35,2082.48,54.79,0.49
36,6025.37,72.23,9.31
37,6873.26,74.99,13.75
38,5581.18,71.33,80.26
39,5728.35,71.878,6.93
40,12154.08,51.57,0.55
41,641.36,58.03,4.9
42,690.8,52.94,76.51
43,33207.08,79.31,5.23
44,30470.01,80.65,61.08
45,13206.48,56.73,1.45
46,752.74,59.44,1.68
47,32170.37,79.4,82.4
48,1327.6,60.02,22.87
49,27538.41,79.48,10.7
50,5186.05,70.25,12.57
51,942.65,56.01,9.94
52,579.23,46.38,1.47
53,1201.63,60.91,8.5
54,3548.33,70.19,7.48
55,39724.97,82.2,6.98
56,18008.94,73.33,9.95
57,36180.78,81.75,0.3
58,2452.21,64.69,1110.39
59,3540.65,70.65,223.54
60,11605.71,70.96,69.45
61,4471.06,59.54,27.49
62,40675.99,78.88,4.1
63,25523.27,80.74,6.42
64,28569.71,80.54,58.14
65,7320.88,72.56,2.78
66,31656.06,82.6,127.46
67,4519.46,72.53,6.05
68,1463.24,54.1,35.61
69,1593.06,67.29,23.3
70,23348.13,78.62,49.04
71,47306.98,77.58,2.5
72,10461.05,71.99,3.92
73,1569.33,42.59,2.012
74,414.5,45.67,3.19
75,12057.49,73.95,6.03
76,1044.77,59.44,19.16
77,759.34,48.3,13.32
78,12451.65,74.24,24.82
79,1042.58,54.46,12.03
80,1803.15,64.16,3.27
81,10956.99,72.8,1.25
82,11977.57,76.19,108.7
83,3095.77,66.8,2.87
84,9253.89,74.54,0.68
85,3820.17,71.16,33.75
86,823.68,42.08,19.95
87,944.0,62.06,47.76
88,4811.06,52.9,2.05
89,1091.35,63.78,28.9
90,36797.93,79.76,16.57
91,25185.01,80.2,4.11
92,2749.32,72.89,5.67
93,619.67,56.86,12.89
94,2013.97,46.85,135.03
95,49357.19,80.19,4.62
96,22316.19,75.64,3.2
97,2605.94,65.48,169.27
98,9809.18,75.53,3.24
99,4172.83,71.75,6.66
100,7408.9,71.42,28.67
101,3190.48,71.68,91.07
102,15389.92,75.56,38.51
103,20509.64,78.09,10.64
104,19328.7,78.74,3.94
105,7670.12,76.44,0.79
106,10808.47,72.47,22.27
107,863.08,46.24,8.86
108,1598.43,65.52,0.19
109,21654.83,72.77,27.6
110,1712.47,63.06,12.26
111,9786.53,74.01,10.15
112,862.54,42.56,6.14
113,47143.17,79.97,4.55
114,18678.31,74.66,5.44
115,25768.25,77.92,2.01
116,926.14,48.15,9.11
117,9269.65,49.33,43.99
118,28821.06,80.94,40.44
119,3970.09,72.39,20.37
120,2602.39,58.55,42.29
121,4513.48,39.61,1.13
122,33859.74,80.884,9.03
123,37506.41,81.7,7.55
124,4184.54,74.14,19.31
125,28718.27,78.4,23.17
126,1107.48,52.51,38.13
127,7458.39,70.61,65.06
128,882.96,58.42,5.7
129,18008.5,69.81,1.05
130,7092.92,73.92,10.27
131,8458.27,71.77,71.15
132,1056.38,51.54,29.17
133,33203.26,79.42,60.77
134,42951.65,78.24,301.13
135,10611.46,76.384,3.44
136,11415.8,73.747,26.08
137,2441.57,74.24,85.26
138,3025.34,73.42,4.01
139,2280.76,62.69,22.21
140,1271.21,42.38,11.74
141,469.7,43.48,12.31
